func_ov055_021384e0 kind:function(arm,size=0x48) addr:0x02138600
func_ov055_021397a4 kind:function(arm,size=0x2c) addr:0x021398c4
_ZN19func_ov055_021397d0D0Ev kind:function(arm,size=0x1c) addr:0x021398f0
_ZN19func_ov055_021397ecD0Ev kind:function(arm,size=0x1c) addr:0x0213990c
_ZN19ActorProfileUnkCHUC10GetProfileEv kind:function(arm,size=0xc) addr:0x02139928
_ZN19ActorProfileUnkCHUC6CreateEv kind:function(arm,size=0x24) addr:0x02139934
_ZN19ActorProfileUnkCHUCC1Ev kind:function(arm,size=0x5c) addr:0x02139958
_ZN12ActorUnkCHUCC1Ev kind:function(arm,size=0x110) addr:0x021399b4
_ZN12ActorUnkCHUC19func_ov055_021399a4Ev kind:function(arm,size=0x14) addr:0x02139ac4
_ZN12ActorUnkCHUC19func_ov055_021399b8Ev kind:function(arm,size=0x14) addr:0x02139ad8
_ZN12ActorUnkCHUC19func_ov055_021399ccEv kind:function(arm,size=0x68) addr:0x02139aec
_ZN12ActorUnkCHUCD0Ev kind:function(arm,size=0x70) addr:0x02139b54
_ZN12ActorUnkCHUC19func_ov055_02139aa4Ev kind:function(arm,size=0x24) addr:0x02139bc4
_ZN12ActorUnkCHUC19func_ov055_02139ac8Ev kind:function(arm,size=0xa8) addr:0x02139be8
_ZN12ActorUnkCHUC19func_ov055_02139b70Ev kind:function(arm,size=0x1c) addr:0x02139c90
_ZN12ActorUnkCHUC19func_ov055_02139b8cEv kind:function(arm,size=0x38) addr:0x02139cac
_ZN12ActorUnkCHUC19func_ov055_02139bc4Ev kind:function(arm,size=0x2f0) addr:0x02139ce4
_ZN12ActorUnkCHUC19func_ov055_02139eb4Ev kind:function(arm,size=0x74) addr:0x02139fd4
_ZN12ActorUnkCHUC19func_ov055_02139f28Ev kind:function(arm,size=0x38) addr:0x0213a048
_ZN12ActorUnkCHUC19func_ov055_02139f60Ev kind:function(arm,size=0x3c) addr:0x0213a080
_ZN12ActorUnkCHUC19func_ov055_02139f9cEv kind:function(arm,size=0xf0) addr:0x0213a0bc
_ZN12ActorUnkCHUC19func_ov055_0213a08cEv kind:function(arm,size=0x44) addr:0x0213a1ac
_ZN12ActorUnkCHUC19func_ov055_0213a0d0Ev kind:function(arm,size=0xc4) addr:0x0213a1f0
_ZN12ActorUnkCHUC19func_ov055_0213a194Ev kind:function(arm,size=0xac) addr:0x0213a2b4
_ZN12ActorUnkCHUC19func_ov055_0213a240Ev kind:function(arm,size=0x14) addr:0x0213a360
_ZN12ActorUnkCHUC19func_ov055_0213a254Ev kind:function(arm,size=0x4c) addr:0x0213a374
_ZN12ActorUnkCHUC19func_ov055_0213a2a0Ev kind:function(arm,size=0xc4) addr:0x0213a3c0
_ZN12ActorUnkCHUC19func_ov055_0213a364Ev kind:function(arm,size=0x40) addr:0x0213a484
_ZN12ActorUnkCHUC19func_ov055_0213a3a4Ev kind:function(arm,size=0x3c) addr:0x0213a4c4
_ZN12ActorUnkCHUC19func_ov055_0213a3e0Ev kind:function(arm,size=0x1c) addr:0x0213a500
_ZN12ActorUnkCHUC19func_ov055_0213a3fcEv kind:function(arm,size=0x1c) addr:0x0213a51c
_ZN12ActorUnkCHUC19func_ov055_0213a418Ev kind:function(arm,size=0x1c) addr:0x0213a538
_ZN12ActorUnkCHUC19func_ov055_0213a434Ev kind:function(arm,size=0x98) addr:0x0213a554
_ZN12ActorUnkCHUC19func_ov055_0213a4ccEv kind:function(arm,size=0x258) addr:0x0213a5ec
_ZN12ActorUnkCHUC19func_ov055_0213a724Ev kind:function(arm,size=0x7c) addr:0x0213a844
_ZN12ActorUnkCHUC19func_ov055_0213a7a0Ev kind:function(arm,size=0xec) addr:0x0213a8c0
_ZN12ActorUnkCHUC19func_ov055_0213a88cEv kind:function(arm,size=0x64) addr:0x0213a9ac
_ZN12ActorUnkCHUC19func_ov055_0213a8f0Ev kind:function(arm,size=0x48) addr:0x0213aa10
_ZN12ActorUnkCHUC19func_ov055_0213a938Ev kind:function(arm,size=0x2c) addr:0x0213aa58
_ZN12ActorUnkCHUC19func_ov055_0213a964Ev kind:function(arm,size=0x20) addr:0x0213aa84
_ZN12ActorUnkCHUC19func_ov055_0213a984Ev kind:function(arm,size=0x58) addr:0x0213aaa4
_ZN12ActorUnkCHUC19func_ov055_0213a9dcEv kind:function(arm,size=0x70) addr:0x0213aafc
_ZN12ActorUnkCHUC19func_ov055_0213aa4cEv kind:function(arm,size=0x40) addr:0x0213ab6c
_ZN12ActorUnkCHUC19func_ov055_0213aa8cEv kind:function(arm,size=0x20) addr:0x0213abac
_ZN12ActorUnkCHUC19func_ov055_0213aaacEv kind:function(arm,size=0x1fc) addr:0x0213abcc
_ZN12ActorUnkCHUC19func_ov055_0213aca8Ev kind:function(arm,size=0x190) addr:0x0213adc8
_ZN12ActorUnkCHUC19func_ov055_0213ae38Ev kind:function(arm,size=0x1c) addr:0x0213af58
_ZN12ActorUnkCHUC19func_ov055_0213ae54Ev kind:function(arm,size=0x44) addr:0x0213af74
_ZN12ActorUnkCHUC19func_ov055_0213ae98Ev kind:function(arm,size=0x6c) addr:0x0213afb8
_ZN12ActorUnkCHUC19func_ov055_0213af04Ev kind:function(arm,size=0x6c) addr:0x0213b024
_ZN12ActorUnkCHUC19func_ov055_0213af70Ev kind:function(arm,size=0xcc) addr:0x0213b090
_ZN12ActorUnkCHUC19func_ov055_0213b03cEv kind:function(arm,size=0x30) addr:0x0213b15c
_ZN12ActorUnkCHUC19func_ov055_0213b06cEv kind:function(arm,size=0x30) addr:0x0213b18c
_ZN12ActorUnkCHUC19func_ov055_0213b09cEv kind:function(arm,size=0x34) addr:0x0213b1bc
_ZN12ActorUnkCHUC19func_ov055_0213b0d0Ev kind:function(arm,size=0xac) addr:0x0213b1f0
_ZN12ActorUnkCHUC19func_ov055_0213b17cEv kind:function(arm,size=0xac) addr:0x0213b29c
_ZN12ActorUnkCHUC19func_ov055_0213b228Ev kind:function(arm,size=0x24) addr:0x0213b348
_ZN12ActorUnkCHUC19func_ov055_0213b24cEv kind:function(arm,size=0x10) addr:0x0213b36c
_ZN12ActorUnkCHUC19func_ov055_0213b25cEv kind:function(arm,size=0x8) addr:0x0213b37c
_ZN12ActorUnkCHUC19func_ov055_0213b264Ev kind:function(arm,size=0x14) addr:0x0213b384
_ZN12ActorUnkCHUC19func_ov055_0213b278Ev kind:function(arm,size=0x1c) addr:0x0213b398
_ZN19ActorProfileUnkCHUCD1Ev kind:function(arm,size=0x14) addr:0x0213b3b4
_ZN19ActorProfileUnkRCHU10GetProfileEv kind:function(arm,size=0xc) addr:0x0213b3c8
_ZN19ActorProfileUnkRCHU6CreateEv kind:function(arm,size=0x24) addr:0x0213b3d4
_ZN19ActorProfileUnkRCHUC1Ev kind:function(arm,size=0x58) addr:0x0213b3f8
_ZN12ActorUnkRCHU19func_ov055_0213b330Ev kind:function(arm,size=0x58) addr:0x0213b450
_ZN12ActorUnkRCHUC1Ev kind:function(arm,size=0xbc) addr:0x0213b4a8
_ZN12ActorUnkRCHU19func_ov055_0213b444Ev kind:function(arm,size=0x14) addr:0x0213b564
_ZN12ActorUnkRCHUD1Ev kind:function(arm,size=0x20) addr:0x0213b578
_ZN12ActorUnkRCHUD0Ev kind:function(arm,size=0x28) addr:0x0213b598
_ZN12ActorUnkRCHU19func_ov055_0213b4a0Ev kind:function(arm,size=0x98) addr:0x0213b5c0
_ZN12ActorUnkRCHU19func_ov055_0213b538Ev kind:function(arm,size=0x38) addr:0x0213b658
_ZN12ActorUnkRCHU19func_ov055_0213b570Ev kind:function(arm,size=0xa4) addr:0x0213b690
_ZN12ActorUnkRCHU19func_ov055_0213b614Ev kind:function(arm,size=0x30) addr:0x0213b734
_ZN12ActorUnkRCHU19func_ov055_0213b644Ev kind:function(arm,size=0x38) addr:0x0213b764
_ZN12ActorUnkRCHU19func_ov055_0213b67cEv kind:function(arm,size=0x38) addr:0x0213b79c
_ZN12ActorUnkRCHU19func_ov055_0213b6b4Ev kind:function(arm,size=0x8c) addr:0x0213b7d4
_ZN12ActorUnkRCHU19func_ov055_0213b740Ev kind:function(arm,size=0x7c) addr:0x0213b860
_ZN12ActorUnkRCHU19func_ov055_0213b7bcEv kind:function(arm,size=0xd8) addr:0x0213b8dc
_ZN12ActorUnkRCHU19func_ov055_0213b894Ev kind:function(arm,size=0x10) addr:0x0213b9b4
_ZN12ActorUnkRCHU19func_ov055_0213b8a4Ev kind:function(arm,size=0x7c) addr:0x0213b9c4
_ZN12ActorUnkRCHU19func_ov055_0213b920Ev kind:function(arm,size=0xb8) addr:0x0213ba40
_ZN12ActorUnkRCHU19func_ov055_0213b9d8Ev kind:function(arm,size=0x10) addr:0x0213baf8
_ZN12ActorUnkRCHU19func_ov055_0213b9e8Ev kind:function(arm,size=0x4) addr:0x0213bb08
_ZN12ActorUnkRCHU19func_ov055_0213b9ecEv kind:function(arm,size=0x20) addr:0x0213bb0c
_ZN12ActorUnkRCHU19func_ov055_0213ba0cEv kind:function(arm,size=0x94) addr:0x0213bb2c
_ZN12ActorUnkRCHU19func_ov055_0213baa0Ev kind:function(arm,size=0xb8) addr:0x0213bbc0
_ZN12ActorUnkRCHU19func_ov055_0213bb58Ev kind:function(arm,size=0xf8) addr:0x0213bc78
_ZN12ActorUnkRCHU19func_ov055_0213bc50Ev kind:function(arm,size=0x2c) addr:0x0213bd70
_ZN12ActorUnkRCHU19func_ov055_0213bc7cEv kind:function(arm,size=0x9c) addr:0x0213bd9c
_ZN12ActorUnkRCHU19func_ov055_0213bd18Ev kind:function(arm,size=0x58) addr:0x0213be38
_ZN12ActorUnkRCHU19func_ov055_0213bd70Ev kind:function(arm,size=0x30) addr:0x0213be90
_ZN12ActorUnkRCHU19func_ov055_0213bda0Ev kind:function(arm,size=0x14) addr:0x0213bec0
_ZN12ActorUnkRCHU19func_ov055_0213bdb4Ev kind:function(arm,size=0x1c) addr:0x0213bed4
_ZN12ActorUnkRCHU19func_ov055_0213bdd0Ev kind:function(arm,size=0x40) addr:0x0213bef0
_ZN12ActorUnkRCHU19func_ov055_0213be10Ev kind:function(arm,size=0x3c) addr:0x0213bf30
_ZN12ActorUnkRCHU19func_ov055_0213be4cEv kind:function(arm,size=0x1c) addr:0x0213bf6c
_ZN19ActorProfileUnkRCHUD1Ev kind:function(arm,size=0x14) addr:0x0213bf88
_ZN19ActorProfileUnkRCMS10GetProfileEv kind:function(arm,size=0xc) addr:0x0213bf9c
_ZN19ActorProfileUnkRCMS6CreateEv kind:function(arm,size=0x24) addr:0x0213bfa8
_ZN19ActorProfileUnkRCMSC1Ev kind:function(arm,size=0x44) addr:0x0213bfcc
_ZN12ActorUnkRCMS19func_ov055_0213bef0Ev kind:function(arm,size=0x34) addr:0x0213c010
_ZN12ActorUnkRCMS19func_ov055_0213bf24Ev kind:function(arm,size=0x3c) addr:0x0213c044
_ZN12ActorUnkRCMS19func_ov055_0213bf60Ev kind:function(arm,size=0x1c) addr:0x0213c080
_ZN12ActorUnkRCMS19func_ov055_0213bf7cEv kind:function(arm,size=0x1c) addr:0x0213c09c
_ZN12ActorUnkRCMS19func_ov055_0213bf98Ev kind:function(arm,size=0x3c) addr:0x0213c0b8
_ZN12ActorUnkRCMS19func_ov055_0213bfd4Ev kind:function(arm,size=0x24) addr:0x0213c0f4
_ZN12ActorUnkRCMS19func_ov055_0213bff8Ev kind:function(arm,size=0x24) addr:0x0213c118
_ZN12ActorUnkRCMS19func_ov055_0213c01cEv kind:function(arm,size=0x74) addr:0x0213c13c
_ZN12ActorUnkRCMSC1Ev kind:function(arm,size=0x184) addr:0x0213c1b0
_ZN12ActorUnkRCMS19func_ov055_0213c214Ev kind:function(arm,size=0x14) addr:0x0213c334
_ZN12ActorUnkRCMS19func_ov055_0213c228Ev kind:function(arm,size=0x14) addr:0x0213c348
_ZN12ActorUnkRCMSD1Ev kind:function(arm,size=0x30) addr:0x0213c35c
_ZN12ActorUnkRCMSD0Ev kind:function(arm,size=0x38) addr:0x0213c38c
_ZN12ActorUnkRCMS19func_ov055_0213c2a4Ev kind:function(arm,size=0x50) addr:0x0213c3c4
_ZN12ActorUnkRCMS19func_ov055_0213c2f4Ev kind:function(arm,size=0x58) addr:0x0213c414
_ZN12ActorUnkRCMS19func_ov055_0213c34cEv kind:function(arm,size=0x4) addr:0x0213c46c
_ZN12ActorUnkRCMS19func_ov055_0213c350Ev kind:function(arm,size=0x4) addr:0x0213c470
_ZN12ActorUnkRCMS19func_ov055_0213c354Ev kind:function(arm,size=0x4) addr:0x0213c474
_ZN12ActorUnkRCMS19func_ov055_0213c358Ev kind:function(arm,size=0x44) addr:0x0213c478
_ZN12ActorUnkRCMS19func_ov055_0213c39cEv kind:function(arm,size=0x14) addr:0x0213c4bc
_ZN12ActorUnkRCMS19func_ov055_0213c3b0Ev kind:function(arm,size=0xc8) addr:0x0213c4d0
_ZN12ActorUnkRCMS19func_ov055_0213c478Ev kind:function(arm,size=0x20) addr:0x0213c598
_ZN12ActorUnkRCMS19func_ov055_0213c498Ev kind:function(arm,size=0x198) addr:0x0213c5b8
_ZN12ActorUnkRCMS19func_ov055_0213c630Ev kind:function(arm,size=0x10) addr:0x0213c750
_ZN12ActorUnkRCMS19func_ov055_0213c640Ev kind:function(arm,size=0x64) addr:0x0213c760
_ZN12ActorUnkRCMS19func_ov055_0213c6a4Ev kind:function(arm,size=0x14) addr:0x0213c7c4
_ZN12ActorUnkRCMS19func_ov055_0213c6b8Ev kind:function(arm,size=0x4) addr:0x0213c7d8
_ZN12ActorUnkRCMS19func_ov055_0213c6bcEv kind:function(arm,size=0x40) addr:0x0213c7dc
_ZN12ActorUnkRCMS19func_ov055_0213c6fcEv kind:function(arm,size=0x10c) addr:0x0213c81c
_ZN12ActorUnkRCMS19func_ov055_0213c808Ev kind:function(arm,size=0x254) addr:0x0213c928
_ZN12ActorUnkRCMS19func_ov055_0213ca5cEv kind:function(arm,size=0x24) addr:0x0213cb7c
_ZN12ActorUnkRCMS19func_ov055_0213ca80Ev kind:function(arm,size=0xf8) addr:0x0213cba0
_ZN12ActorUnkRCMS19func_ov055_0213cb78Ev kind:function(arm,size=0x1bc) addr:0x0213cc98
_ZN12ActorUnkRCMS19func_ov055_0213cd34Ev kind:function(arm,size=0x160) addr:0x0213ce54
_ZN12ActorUnkRCMS19func_ov055_0213ce94Ev kind:function(arm,size=0xc4) addr:0x0213cfb4
_ZN12ActorUnkRCMS19func_ov055_0213cf58Ev kind:function(arm,size=0x5c) addr:0x0213d078
_ZN12ActorUnkRCMS19func_ov055_0213cfb4Ev kind:function(arm,size=0x3c) addr:0x0213d0d4
_ZN12ActorUnkRCMS19func_ov055_0213cff0Ev kind:function(arm,size=0x78) addr:0x0213d110
_ZN12ActorUnkRCMS19func_ov055_0213d068Ev kind:function(arm,size=0x4) addr:0x0213d188
_ZN12ActorUnkRCMS19func_ov055_0213d06cEv kind:function(arm,size=0xb4) addr:0x0213d18c
_ZN12ActorUnkRCMS19func_ov055_0213d120Ev kind:function(arm,size=0x80) addr:0x0213d240
_ZN12ActorUnkRCMS19func_ov055_0213d1a0Ev kind:function(arm,size=0x6c) addr:0x0213d2c0
_ZN12ActorUnkRCMS19func_ov055_0213d20cEv kind:function(arm,size=0x1c) addr:0x0213d32c
_ZN12ActorUnkRCMS19func_ov055_0213d228Ev kind:function(arm,size=0x1c) addr:0x0213d348
_ZN19ActorProfileUnkRCMSD1Ev kind:function(arm,size=0x14) addr:0x0213d364
data_ov055_0213d378 kind:data(any) addr:0x0213d378
data_ov055_0213d388 kind:data(any) addr:0x0213d388
data_ov055_0213d398 kind:data(any) addr:0x0213d398
__sinit_ov055_0213d3a8 kind:function(arm,size=0x6c) addr:0x0213d3a8
__sinit_ov055_0213d414 kind:function(arm,size=0x6c) addr:0x0213d414
__sinit_ov055_0213d480 kind:function(arm,size=0x94) addr:0x0213d480
.p__sinit_ov055_0213d3a8 kind:data(word) addr:0x0213d514
.p__sinit_ov055_0213d414 kind:data(word) addr:0x0213d518
.p__sinit_ov055_0213d480 kind:data(word) addr:0x0213d51c
data_ov055_0213d548 kind:data(any) addr:0x0213d548
data_ov055_0213d574 kind:data(any) addr:0x0213d574
data_ov055_0213d5c0 kind:data(any) addr:0x0213d5c0
data_ov055_0213d640 kind:data(any) addr:0x0213d640
data_ov055_0213d64c kind:data(any) addr:0x0213d64c
data_ov055_0213d65c kind:data(any) addr:0x0213d65c
data_ov055_0213d66c kind:data(any) addr:0x0213d66c
data_ov055_0213d68c kind:data(any) addr:0x0213d68c
data_ov055_0213d6b0 kind:data(any) addr:0x0213d6b0
data_ov055_0213d6f0 kind:data(any) addr:0x0213d6f0
data_ov055_0213d720 kind:data(any) addr:0x0213d720 ambiguous
data_ov055_0213d748 kind:data(any) addr:0x0213d748
data_ov055_0213d7a8 kind:data(any) addr:0x0213d7a8
data_ov055_0213d828 kind:data(any) addr:0x0213d828
data_ov055_0213d8a0 kind:data(any) addr:0x0213d8a0
data_ov055_0213d8b8 kind:data(any) addr:0x0213d8b8
data_ov055_0213d8cc kind:data(any) addr:0x0213d8cc
data_ov055_0213d8e0 kind:data(any) addr:0x0213d8e0
data_ov055_0213d904 kind:data(any) addr:0x0213d904
data_ov055_0213d924 kind:data(any) addr:0x0213d924
data_ov055_0213d974 kind:data(any) addr:0x0213d974
data_ov055_0213d9cc kind:data(any) addr:0x0213d9cc
data_ov055_0213da4c kind:data(any) addr:0x0213da4c
data_ov055_0213dadc kind:data(any) addr:0x0213dadc
data_ov055_0213db6c kind:data(any) addr:0x0213db6c
data_ov055_0213db80 kind:data(any) addr:0x0213db80
data_ov055_0213dbb8 kind:data(any) addr:0x0213dbb8
data_ov055_0213dbf8 kind:data(any) addr:0x0213dbf8
data_ov055_0213dc10 kind:data(any) addr:0x0213dc10
data_ov055_0213dc2c kind:data(any) addr:0x0213dc2c
data_ov055_0213dc50 kind:data(any) addr:0x0213dc50
data_ov055_0213dc9c kind:data(any) addr:0x0213dc9c
data_ov055_0213dd00 kind:bss addr:0x0213dd00
data_ov055_0213dd04 kind:bss addr:0x0213dd04
data_ov055_0213dd10 kind:bss addr:0x0213dd10
data_ov055_0213dde8 kind:bss addr:0x0213dde8
data_ov055_0213ddec kind:bss addr:0x0213ddec
data_ov055_0213ddf8 kind:bss addr:0x0213ddf8
data_ov055_0213de3c kind:bss addr:0x0213de3c
data_ov055_0213de40 kind:bss addr:0x0213de40
data_ov055_0213de4c kind:bss addr:0x0213de4c
